RefDes,Qty,Value/Package,Manufacturer/MPN,Alternative,Rating/Notes,Status,Purpose,PackageDetail,Evidence/Source,Validation
K3,1,DPDT relay 5V coil RIGHT-A,Omron G2R-2-DC5,TE RT-series DPDT 5V-coil equivalent (exact variant TBD at order - verify pinout + DC rating),NC = OEM pass-through; NO = MCU drive. 5A@30VDC resistive; DC inductive rating TBD at HV3.,PROPOSED - confirm against measured stall,Right polarity leg A,THT DPDT (footprint remap at GUI),Omron G2R datasheet,NEEDS PHYSICAL VALIDATION (HV1/HV3)
K4,1,DPDT relay 5V coil RIGHT-B,Omron G2R-2-DC5,TE RT-series DPDT 5V-coil equivalent (exact variant TBD at order - verify pinout + DC rating),Pairs with K3; staggered vs left (>=150 ms). 5A@30VDC resistive; DC inductive rating TBD at HV3.,PROPOSED - confirm against measured stall,Right polarity leg B,THT DPDT (footprint remap at GUI),Omron G2R datasheet,NEEDS PHYSICAL VALIDATION (HV1/HV3)
Q1-Q4,4,NPN low-side coil driver MMBT2222A,Onsemi MMBT2222A,BC847 equivalent,1k base from 3V3 GPIO; 5V-coil current TBD from G2R datasheet at order - re-verify saturation margin + HV2 coil check; verify coil current < 150 mA.,PROPOSED,Relay coil switches,SOT-23 x4,Onsemi MMBT2222A datasheet,NEEDS DATASHEET REVIEW + HV2 coil check
R1-R4,4,Base resistor 560R 0603 1% (D-07 attack-session change, was 1k),Yageo RC0603FR-07560R series (verify exact MPN at order),Any 0603 560R 1%,"Ib ~4.5 mA nominal; worst-corner saturation margin 1.42 (was 0.80 at 1k - cold + hFE-min + VOH-droop corner desaturated; see eng/monte_carlo.py). GPIO source ~4 mA within ESP32-S3 capability.",PROPOSED,NPN base drive,0603,Maker datasheet (generic) + eng/monte_carlo.py worst-case,HV2 coil check (Vce sat scope)
R_AUX1-R_AUX2,2,Pullup resistor 10k 0603 1% (AUX active-low sense),Yageo RC0603FR-0710KL,Any 0603 10k 1%,External pullups harden off-board switch sense vs MCU 45k internal only (added rev 0.3; kills ERC pin_not_driven).,PROPOSED,AUX sense pullups,0603,Maker datasheet (generic),DESIGN REVIEW
D1-D4,4,Flyback diode 1N4148,Vishay 1N4148,1N4148W equivalent,Across each coil (cathode to 5V side); verify orientation at review.,PROPOSED,Coil suppression,SOD-123 x4,Vishay 1N4148 datasheet,DESIGN REVIEW + HV2 scope check
D5,1,1N4148 antiparallel opto-input reverse protection (D-05 attack-session addition rev 0.3.3),Vishay 1N4148,1N4148W equivalent,"Across opto LED input (K to BTN_SENSE, A to GND); clamps reverse to ~0.7 V, inert forward. REQUIRED because 4N25 LED abs max VR is 5-6 V (Vishay datasheet) while reverse battery can impose ~14 V across R_SENSE + LED.",PROPOSED,Opto reverse protection,SOD-123,Vishay 4N25 VR abs max (verified 2026-09-24 via manufacturer datasheet); eng/transients.py,HV4 reverse confirm
U_OPTO_BTN,1,Optocoupler 4N25-class BTN_SENSE,Onsemi 4N25,Vishay 4N25-X009,High-Z tap + series ~590R class (meter first). Sense only - never drive.,PROPOSED,Retractor-switch sense,DIP-6,Onsemi 4N25 datasheet; OpenWink rev3 590R note (reference),NEEDS PHYSICAL VALIDATION (metered levels HV2)
R_SENSE,1,Series resistor per metered levels (~590R class intent),Yageo RC0603 series,TBD after metering,Values set AFTER donor-car metering; do NOT stuff blindly.,PROPOSED - values TBD by metering,Opto input conditioning,0603,Donor-car measurement (NOT RUN),BLOCKED until metering
J1,1,8-pos sealed automotive connector MX120G-class intent,Molex MX120G-series 8-pos (sealed),JST / TE sealed 8-pos equivalent,"Sealed - vehicle side. PROPOSED candidate only; shell/terminal P/N + keying NEEDS-MEASUREMENT. PARTIALLY RESOLVED (OE-02 rev 0.3.2): MX120G max 1.0 mm2 (Molex family page + PS-36790-001 verified 2026-09-24) - 2.5/1.5 runs join via 1.0 mm2 FLRY-B pigtails + ultrasonic splice + TE SCT seal (see HARNESS.md); direct crimp of 2.5/1.5 PROHIBITED; run-gauge sizing still TBD on measured stall.",PROPOSED - PARTIALLY RESOLVED (OE-02 mechanical; electrical sizing TBD),Vehicle harness interface,MX120G 8-pos + 36799-series terminals + seals,Molex MX120G 36783/36792/36799 + PS-36790-001 (verified 2026-09-24; 1.0mm2 grip P/N per SD-36799-001 at order),Mating on donor car + run-gauge sizing on measured stall still required (OE-02)
J2-J3,2,Motor-side sealed 3-pos connectors,Molex MX120G-series 3-pos,Matching sealed series,"To each retractor motor pigtail via plug-and-play adapter. PARTIALLY RESOLVED (OE-02 rev 0.3.2): 1.5 mm2 MOT runs join via 1.0 mm2 pigtails + ultrasonic splice + TE SCT seal (see HARNESS.md); direct crimp of 1.5 PROHIBITED; run-gauge sizing still TBD on measured stall.",PROPOSED - PARTIALLY RESOLVED (OE-02 mechanical; electrical sizing TBD),Motor pigtail adapters,MX120G 3-pos + 36799-series terminals + seals,Molex MX120G + PS-36790-001 (verified 2026-09-24),Mating + run-gauge sizing on measured stall still required (OE-02)
J_PROG,1,Programming header 1x06 P2.54 (6-pin symbol rev 0.3; was 3-pin placeholder),Samtec / generic 1x06 header,Any 2.54mm header,TX/RX/3V3/GND/EN/BOOT for flashing + diagnostics.,PROPOSED,Flash + debug,THT 1x06,Generic (review),DESIGN REVIEW
C_BULK,2,470uF 50V electrolytic (uprated rev 0.3.2 OE-01),Nichicon UHW-series 50V,Any 105C-rated 50V equivalent,"Bulk for inrush / ride-through. Uprated because TVS clamp 42.1 V exceeds the former 35 V rating (clamp arithmetic 2026-09-24). ESR + ripple to confirm.",PROPOSED,Bulk ride-through,Radial (footprint remap at GUI per OE-12),Nichicon UHW datasheet (verify 50V series at order),NEEDS PHYSICAL VALIDATION (HV2 inrush)
C_DEC,5,"100nF 50V ceramic per rail + MCU pins (C_DEC1/2 3V3, C_DEC3-5 5V; placed rev 0.3)",Murata GRM155-series,Any X7R 100nF,One per rail + per MCU supply pin intent.,PROPOSED,Decoupling,0603,Murata datasheet (generic),DESIGN REVIEW
TP_x,8,Test points TP_VBAT TP_3V3 TP_5V TP_COIL TP_MOT TP_GND,Keystone 5000-series,Any through-hole loop,HV1-HV4 measurement points near J1 edge.,PROPOSED,Bench measurement,TH loop,Keystone datasheet,DESIGN REVIEW
PCB,1,2-layer FR-4 100x70mm 1.6mm 1oz Cu,JLCPCB / PCBWay class fab,-,"Motor tracks 2.0mm; star GND; TVS at entry. NOT fabrication-ready: ERC 0 errors + DRC 0 shorting/clearance/crossing/edge (2026-09-23 GND zone-fill artifact); GUI remap/fill + HV1-HV4 still required.",REVIEW DRAFT,Module substrate,100x70mm 2L 1oz,hardware/kicad/ review draft,"ERC/DRC run 2026-09-23 (see STATUS.txt); BLOCKED until GUI remap/fill + HV1-HV4"
ENC,1,Parametric enclosure (OpenSCAD hardware/cad/enclosure.scad),Printed ASA prototype (Bambu-class) or ABS,-,Prototype material ONLY. NOT automotive-qualified; thermal/moisture/vibration limits in SAFETY_CASE.,PROTOTYPE ONLY,Dust/touch protection on bench,Printed ASA/ABS,SAFETY_CASE H6 limits,NOT automotive-qualified by design
